Transaction_ID,Date,Customer_Name,Product_Category,Quantity,Price,Discount_Applied,Total_Spend
TX1083,2026-06-25,Charlie Brown,Books,5.0,179.39,False,896.95
TX1053,2026-06-04,Grace Thomas,Clothing,,,True,
TX1070,2026-06-27,Grace Thomas,Electronics,1.0,388.93,True,388.93
TX1045,2026-06-09,Charlie Brown,Home,5.0,,True,
TX1044,2026-06-11,David Miller,Electronics,5.0,89.63,False,448.15
TX1039,2026-06-25,Jack Jackson,Electronics,2.0,438.61,True,877.22
TX1022,2026-06-17,Grace Thomas,Home,5.0,473.07,False,2365.35
TX1080,2026-06-02,Ivy Anderson,Books,3.0,491.94,True,1475.82
TX1010,2026-06-22,David Miller,Clothing,3.0,34.89,False,104.67
TX1000,2026-06-21,Frank Wilson,Home,4.0,,True,
TX1018,2026-06-01,Alice Smith,Books,3.0,226.5,False,679.5
TX1030,2026-06-18,Grace Thomas,Clothing,5.0,188.68,False,943.4
TX1073,2026-06-29,Alice Smith,Electronics,5.0,,False,
TX1033,2026-06-15,Eva Davis,Electronics,5.0,29.55,False,147.75
TX1090,2026-06-13,Frank Wilson,Sports,1.0,31.75,False,31.75
TX1004,2026-06-09,David Miller,Sports,4.0,178.01,False,712.04
TX1076,2026-06-19,Charlie Brown,Clothing,3.0,23.52,False,70.56
TX1077,2026-06-07,Ivy Anderson,Sports,1.0,439.75,,439.75
TX1012,2026-06-29,Henry Taylor,Books,3.0,416.38,False,1249.14
TX1031,2026-06-14,Henry Taylor,Electronics,2.0,467.21,True,934.42
TX1055,2026-06-28,Bob Johnson,Sports,2.0,88.01,True,176.02
TX1088,2026-06-28,Alice Smith,Electronics,5.0,450.76,True,2253.8
TX1026,2026-06-07,Jack Jackson,Sports,,190.92,False,
TX1042,2026-06-23,Grace Thomas,Clothing,,463.62,True,
TX1069,2026-06-10,Eva Davis,Electronics,,44.02,,
TX1015,2026-06-19,Ivy Anderson,Home,4.0,74.1,False,296.4
TX1040,2026-06-26,Grace Thomas,Electronics,4.0,487.18,True,1948.72
TX1034,2026-06-19,Charlie Brown,Sports,1.0,185.33,False,185.33
TX1009,2026-06-04,Ivy Anderson,Sports,4.0,455.0,False,1820.0
TX1072,2026-06-20,Henry Taylor,Home,2.0,259.61,False,519.22
TX1011,2026-06-24,Charlie Brown,Clothing,4.0,320.8,False,1283.2
TX1047,2026-06-07,Henry Taylor,Sports,5.0,212.02,False,1060.1
TX1085,2026-06-03,Charlie Brown,Electronics,5.0,223.83,False,1119.15
TX1028,2026-06-21,David Miller,Electronics,4.0,220.6,,882.4
TX1093,2026-06-21,Bob Johnson,Clothing,1.0,405.19,True,405.19
TX1005,2026-06-08,Eva Davis,Electronics,1.0,346.87,False,346.87
TX1066,2026-06-13,Eva Davis,Books,4.0,333.42,False,1333.68
TX1065,2026-06-30,Ivy Anderson,Books,1.0,119.23,False,119.23
TX1035,2026-06-09,David Miller,Sports,2.0,344.21,True,688.42
TX1016,2026-06-14,David Miller,Sports,2.0,490.1,False,980.2
TX1049,2026-06-11,Alice Smith,Home,,,False,
TX1034,2026-06-19,Charlie Brown,Sports,1.0,185.33,False,185.33
TX1007,2026-06-05,Jack Jackson,Books,,257.65,False,
TX1028,2026-06-21,David Miller,Electronics,4.0,220.6,,882.4
TX1027,2026-06-23,Frank Wilson,Books,5.0,280.74,False,1403.7
TX1019,2026-06-03,David Miller,Clothing,2.0,355.78,False,711.56
TX1081,2026-06-22,Jack Jackson,Clothing,2.0,28.75,False,57.5
TX1025,2026-06-18,David Miller,Books,1.0,27.65,False,27.65
TX1062,2026-06-15,Ivy Anderson,Electronics,4.0,181.33,,725.32
TX1013,2026-06-18,Grace Thomas,Sports,4.0,31.6,True,126.4
TX1024,2026-06-01,Bob Johnson,Home,3.0,83.04,False,249.12
TX1003,2026-06-24,Frank Wilson,Clothing,2.0,113.21,True,226.42
TX1017,2026-06-02,Frank Wilson,Sports,2.0,89.18,True,178.36
TX1038,2026-06-01,Eva Davis,Clothing,1.0,,True,
TX1008,2026-06-24,Charlie Brown,Electronics,1.0,133.05,False,133.05
TX1078,2026-06-23,Bob Johnson,Books,2.0,138.0,False,276.0
TX1006,2026-06-08,Bob Johnson,Electronics,2.0,427.93,True,855.86
TX1064,2026-06-04,Bob Johnson,Home,1.0,436.95,True,436.95
TX1036,2026-06-26,Ivy Anderson,Clothing,1.0,336.8,True,336.8
TX1089,2026-06-04,Jack Jackson,Electronics,3.0,,True,
TX1056,2026-06-12,Grace Thomas,Books,3.0,353.63,False,1060.89
TX1003,2026-06-24,Frank Wilson,Clothing,2.0,113.21,True,226.42
TX1054,2026-06-12,Jack Jackson,Sports,3.0,131.6,True,394.8
TX1043,2026-06-14,Frank Wilson,Electronics,2.0,126.0,True,252.0
TX1050,2026-06-04,Bob Johnson,Books,5.0,393.37,False,1966.85
TX1067,2026-06-03,Frank Wilson,Books,5.0,205.25,False,1026.25
TX1046,2026-06-05,Ivy Anderson,Electronics,1.0,96.76,False,96.76
TX1068,2026-06-18,Bob Johnson,Electronics,5.0,,False,
TX1061,2026-06-24,Eva Davis,Electronics,3.0,,True,
TX1055,2026-06-28,Bob Johnson,Sports,2.0,88.01,True,176.02
TX1079,2026-06-03,Eva Davis,Clothing,3.0,294.49,False,883.47
TX1041,2026-06-06,Jack Jackson,Electronics,1.0,377.24,True,377.24
TX1058,2026-06-09,Jack Jackson,Books,3.0,28.98,True,86.94
TX1048,2026-06-25,Bob Johnson,Clothing,1.0,,True,
TX1062,2026-06-15,Ivy Anderson,Electronics,4.0,181.33,,725.32
TX1057,2026-06-20,Grace Thomas,Clothing,2.0,197.45,True,394.9
TX1075,2026-06-12,Ivy Anderson,Clothing,2.0,172.26,False,344.52
TX1032,2026-06-08,Charlie Brown,Home,1.0,486.38,True,486.38
TX1094,2026-06-27,Frank Wilson,Clothing,1.0,346.56,,346.56
TX1059,2026-06-26,Henry Taylor,Books,,240.64,False,
TX1063,2026-06-18,Alice Smith,Books,3.0,412.06,False,1236.18
TX1084,2026-06-10,Frank Wilson,Clothing,3.0,395.35,False,1186.05
TX1037,2026-06-28,Ivy Anderson,Sports,5.0,183.3,False,916.5
TX1029,2026-06-23,Henry Taylor,Clothing,5.0,30.5,True,152.5
TX1001,2026-06-04,Charlie Brown,Clothing,4.0,86.17,False,344.68
TX1052,2026-06-13,Charlie Brown,Sports,,338.25,True,
TX1021,2026-06-08,Frank Wilson,Clothing,5.0,64.82,False,324.1
TX1002,2026-06-01,Frank Wilson,Electronics,4.0,,False,
TX1023,2026-06-20,Eva Davis,Books,1.0,348.6,True,348.6
TX1087,2026-06-08,Ivy Anderson,Sports,1.0,66.67,True,66.67
TX1091,2026-06-09,Henry Taylor,Electronics,2.0,223.67,True,447.34
TX1074,2026-06-28,Eva Davis,Clothing,3.0,,True,
TX1086,2026-06-28,Ivy Anderson,Books,5.0,492.28,True,2461.4
TX1082,2026-06-08,David Miller,Home,4.0,302.32,True,1209.28
TX1020,2026-06-07,Alice Smith,Sports,1.0,284.84,True,284.84
TX1060,2026-06-02,Ivy Anderson,Clothing,2.0,107.79,True,215.58
TX1071,2026-06-21,Charlie Brown,Books,5.0,182.06,False,910.3
TX1014,2026-06-03,Eva Davis,Clothing,5.0,173.44,True,867.2
TX1092,2026-06-15,Alice Smith,Electronics,3.0,264.76,True,794.28
TX1051,2026-06-03,Charlie Brown,Clothing,5.0,211.74,False,1058.7
